Solving the file: X-n336-k84.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    335 clients
    335 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    Iters    Time |   #      Avg     Best |   #      Avg     Best
H     500     19s |  38   142693   141684 |  37   148027   141627
H    1000     33s |  47   142373   141204 |  49   142441   141209
H    1500     47s |  44   141975   141058 |  64   142476   140828
H    2000     60s |  40   141812   140812 |  26   141238   140819
H    2500     72s |  48   141716   140628 |  62   142040   140500
H    3000     83s |  49   141278   140506 |  38   141224   140402
H    3500     95s |  49   141136   140370 |  65   141205   140225
H    4000    107s |  44   140949   140341 |  53   141344   140240
H    4500    119s |  35   140740   140273 |  62   141692   140289
H    5000    131s |  44   141613   140225 |  35   141121   140157
H    5500    145s |  51   141106   140224 |  64   141053   140092
     6000    157s |  53   141247   140224 |  41   141392   140084
H    6500    169s |  25   140453   140213 |  32   140621   140168
     7000    182s |  31   140673   140213 |  45   141297   140184
H    7500    194s |  57   141145   140205 |  36   140762   140072
H    8000    207s |  27   140647   140169 |  55   141385   140043
     8500    219s |  33   140661   140169 |  41   140430   139888
     9000    232s |  28   140506   140169 |  53   140841   140009
     9500    244s |  28   140659   140169 |  58   140142   139534
    10000    258s |  62   141737   140169 |  52   141396   139799
H   10500    271s |  59   141135   140143 |  34   140756   139940
    11000    284s |  65   141225   140143 |  45   141048   139994
    11500    296s |  28   140462   140143 |  64   140845   139862
    12000    308s |  33   140501   140143 |  48   140590   139912
    12500    319s |  47   141145   140143 |  60   140973   139898
    13000    332s |  39   141101   140143 |  32   140887   139912
    13500    344s |  40   140868   140143 |  53   140374   139660
    14000    357s |  47   141027   140143 |  27   140613   139877
    14500    369s |  40   141208   140143 |  47   141219   139942
    15000    382s |  44   140916   140143 |  55   140904   139865
H   15500    395s |  48   141016   140141 |  41   140894   139920
    16000    407s |  59   141157   140141 |  63   141335   139920
    16500    420s |  38   140956   140141 |  65   141677   139920
    17000    432s |  34   140923   140141 |  52   141558   139775
    17500    444s |  34   140733   140141 |  57   141560   139744
H   18000    456s |  37   141014   139822 |  57   141099   139744
    18500    467s |  46   140819   139822 |  64   141101   139744
H   19000    477s |  51   140829   139809 |  29   140492   139683
H   19500    489s |  32   140329   139748 |  60   139949   139504
H   20000    500s |  61   141002   139697 |  30   139939   139397
    20500    512s |  52   140721   139697 |  25   139673   139571
    21000    523s |  52   140904   139697 |  61   140209   139397
